text,emotion,severity,intent,context,response
I feel downness because of my health,sadness,high,vent,health,It sounds like you're going through something difficult.
I feel low levels of recently stress,stress,low,information,social,Consider talking to someone you trust.
My study situation is making me feel neutral,neutral,low,general,study,Consider talking to someone you trust.
I feel low levels of sadness recently,sadness,low,help,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this anger anymore,anger,medium,help,family,Seeking professional support could be beneficial.
Everything overwhelming in my study,neutral,medium,vent,study,Try taking small steps to manage your situation.
I don't know how to handle this sadness anymore,sadness,medium,general,health,It sounds like you're going through something difficult.
Everything feels overwhelming in my family,neutral,high,crisis,family,Consider talking to someone you trust.
Sometimes I feel sadness without any reason,sadness,high,general,study,Consider talking to someone you trust.
My work situation is making me sadness feel,sadness,low,crisis,work,Seeking professional support could be beneficial.
Everything feels overwhelming in my,anxiety,medium,vent,family,Consider talking to someone you trust.
I don't know how to this handle anger anymore,anger,high,vent,work,"You are not alone, and it's okay to seek help."
I am dealing with anger and it is getting medium,anger,medium,crisis,health,Try taking small steps to manage your situation.
I feel high levels of stress recently,stress,high,crisis,health,"You are not alone, and it's okay to seek help."
I dealing with anger and it is getting low,anger,low,help,family,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,medium,information,family,Seeking professional support could be beneficial.
I am dealing with stress and it is getting medium,stress,medium,crisis,social,Consider talking to someone you trust.
I low feel levels of neutral,neutral,low,help,health,It sounds like you're going through something difficult.
Lately my health has been causing me sadness,sadness,medium,information,health,Try taking small steps to manage your situation.
I am dealing with unhappyness and it is getting low,sadness,low,help,family,It might help to take a break and relax.
Everything feels overwhelming in social my,stress,low,general,social,It sounds like you're going through something difficult.
I feel anger of my family,anger,high,information,family,It might help to take a break and relax.
Lately my social has been causing me stress,stress,high,crisis,social,Seeking professional support could be beneficial.
I am dealing with anger and it is getting medium,anger,medium,information,study,Seeking professional support could be beneficial.
My health situation is making feel downness,sadness,medium,general,health,It might help to take a break and relax.
Everything feels overwhelming in my,anxiety,high,vent,social,Seeking professional support could be beneficial.
feels Everything overwhelming my social,anxiety,high,vent,social,It sounds like you're going through something difficult.
I don't how know to handle this anger anymore,anger,low,crisis,work,Try taking small steps to manage your situation.
My social situation making me feel neutral,neutral,low,general,social,Seeking professional support could be beneficial.
Lately my work has been causing me stress,stress,low,information,work,It might help to take a break and relax.
My social is situation making me feel sadness,sadness,low,help,social,It might help to take a break and relax.
Lately my family has been causing me anger,anger,low,help,family,Consider talking to someone you trust.
My family situation is making me feel neutral,neutral,low,general,family,It sounds like you're going through something difficult.
Sometimes I feel stress any without reason,stress,low,help,work,"You are not alone, and it's okay to seek help."
Sometimes I sadness feel without any reason,sadness,low,help,family,It sounds like you're going through something difficult.
I feel medium levels of recently neutral,neutral,medium,general,study,It sounds like you're going through something difficult.
I medium feel levels of sadness recently,sadness,low,vent,family,It might help to take a break and relax.
Everything feels overwhelming in my health,sadness,high,information,health,Consider talking to someone you trust.
Everything feels overwhelming in my social,anger,medium,help,social,Seeking professional support could be beneficial.
I am dealing with neutral it and is getting low,neutral,low,vent,family,It might help to take a break and relax.
Everything feels overwhelming in my work,anxiety,medium,help,work,It might help to take a break and relax.
Lately my work has been causing me anxiety,anxiety,high,vent,work,It might help to take a break and relax.
I feel medium levels of neutral recently,neutral,medium,information,study,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it getting high,neutral,high,help,work,It might help to take a break and relax.
Lately my social has been me causing anxiety,anxiety,high,help,social,Seeking professional support could be beneficial.
I feel high levels of anger recently,anger,high,help,family,Seeking professional support could be beneficial.
I medium feel levels of neutral recently,neutral,medium,help,study,"You are not alone, and it's okay to seek help."
I feel neutral because of my health,neutral,medium,crisis,health,Consider talking to someone you trust.
I feel low levels of recently,anger,low,help,health,Try taking small steps to manage your situation.
Sometimes I feel stress without any reason,stress,medium,general,health,Try taking small steps to manage your situation.
I am dealing with anger and it is getting medium,anger,medium,crisis,study,Try taking small steps to manage your situation.
Sometimes I feel anxiety without any reason,anxiety,medium,information,health,Try taking small steps to manage your situation.
Lately my health has been causing me neutral,neutral,low,vent,health,Consider talking to someone you trust.
I am dealing with stress and it is getting low,stress,low,general,family,Seeking professional support could be beneficial.
I know don't how to handle this stress anymore,stress,low,crisis,health,It might help to take a break and relax.
I stress feel because of my family,stress,medium,help,family,It sounds like you're going through something difficult.
I am dealing with anxiety and it is getting low,anxiety,low,help,social,Seeking professional support could be beneficial.
Sometimes I feel without any reason,neutral,medium,vent,work,It might help to take a break and relax.
I feel neutral because my of health,neutral,medium,crisis,health,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,medium,vent,social,Consider talking to someone you trust.
Lately my has work been causing me stress,stress,medium,help,work,"You are not alone, and it's okay to seek help."
feel I low levels of stress recently,stress,low,help,family,Try taking small steps to manage your situation.
Everything feels overwhelming in my health,anger,medium,information,health,Seeking professional support could be beneficial.
I am dealing with anger and it is getting low,anger,low,help,work,Try taking small steps to manage your situation.
Everything feels overwhelming in my,anger,low,vent,social,Seeking professional support could be beneficial.
Sometimes I feel sadness any reason,sadness,medium,vent,health,Seeking professional support could be beneficial.
Sometimes I feel neutral without any reason,neutral,low,crisis,work,It sounds like you're going through something difficult.
I feel neutral because of my family,neutral,medium,vent,family,It might help to take a break and relax.
I don't know how to handle this stress anymore,stress,medium,crisis,study,It sounds like you're going through something difficult.
I am dealing with stress and it is getting high,stress,high,help,health,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,low,vent,study,It sounds like you're going through something difficult.
Everything feels overwhelming in my family,neutral,high,crisis,family,Try taking small steps to manage your situation.
My health situation is making me feel stress,stress,medium,vent,health,Consider talking to someone you trust.
feel I high levels of anger recently,anger,high,information,work,It sounds like you're going through something difficult.
My situation family is making me feel anxiety,anxiety,high,information,family,"You are not alone, and it's okay to seek help."
I feel medium levels of neutral recently,neutral,medium,crisis,family,It might help to take a break and relax.
I am dealing with downness it and is getting low,sadness,low,information,study,Try taking small steps to manage your situation.
I feel low levels anger recently,anger,low,crisis,family,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,stress,low,help,work,It might help to take a break and relax.
Everything feels overwhelming in my family,sadness,medium,vent,family,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,high,crisis,work,Try taking small steps to manage your situation.
I am dealing with anger and it is getting low,anger,low,crisis,health,"You are not alone, and it's okay to seek help."
I am dealing with anxiety and it is getting medium,anxiety,medium,crisis,work,It sounds like you're going through something difficult.
I feel medium levels of anger recently,anger,medium,crisis,social,Consider talking to someone you trust.
I feel anger because of my health,anger,low,crisis,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this neutral anymore,neutral,low,vent,family,Consider talking to someone you trust.
Everything feels in overwhelming my social,neutral,high,help,social,"You are not alone, and it's okay to seek help."
Lately my social has been me causing,anxiety,medium,crisis,social,Try taking small steps to manage your situation.
I dealing am with stress and it is getting high,stress,high,vent,health,Try taking small steps to manage your situation.
I don't know how to handle this anger anymore,anger,medium,crisis,family,Seeking professional support could be beneficial.
Lately my social has been causing me anxiety,anxiety,high,crisis,social,Try taking small steps to manage your situation.
Everything feels overwhelming in my social,anxiety,high,crisis,social,Seeking professional support could be beneficial.
I don't know how to handle this sadness anymore,sadness,low,help,work,Consider talking to someone you trust.
Sometimes I feel neutral without any reason,neutral,high,crisis,work,"You are not alone, and it's okay to seek help."
I don't know how to handle this anger anymore,anger,low,help,family,Consider talking to someone you trust.
My work situation is making me feel sadness,sadness,low,help,work,"You are not alone, and it's okay to seek help."
I feel levels of sadness recently,sadness,low,information,study,It sounds like you're going through something difficult.
My work situation is making me feel sadness,sadness,high,crisis,work,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is medium getting,neutral,medium,help,family,Consider talking to someone you trust.
Sometimes feel neutral without any reason,neutral,low,vent,family,It sounds like you're going through something difficult.
my Lately social been causing me neutral,neutral,medium,crisis,social,Try taking small steps to manage your situation.
my Lately health has been me sadness,sadness,medium,vent,health,Consider talking to someone you trust.
Everything feels overwhelming in my study,anxiety,high,general,study,It sounds like you're going through something difficult.
I feel stress because of my social,stress,medium,general,social,It sounds like you're going through something difficult.
Lately my family been has causing me sadness,sadness,medium,crisis,family,Seeking professional support could be beneficial.
I am dealing with anger and it is getting low,anger,low,help,social,"You are not alone, and it's okay to seek help."
I feel high levels of nervous recently,anxiety,high,help,health,"You are not alone, and it's okay to seek help."
I am dealing with stress and it is medium getting,stress,medium,vent,study,Try taking small steps to manage your situation.
I feel neutral because of my study,neutral,high,information,study,Consider talking to someone you trust.
I don't know how to handle this neutral anymore,neutral,low,general,family,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is getting high,neutral,high,information,work,It might help to take a break and relax.
Lately my health has been causing me stress,stress,high,vent,health,It might help to take a break and relax.
My health situation is making me feel sadness,sadness,low,crisis,health,Seeking professional support could be beneficial.
I feel sadness because of my social,sadness,medium,help,social,It sounds like you're going through something difficult.
Lately study has been causing me anger,anger,low,crisis,study,Seeking professional support could be beneficial.
I feel anxiety because of my health,anxiety,medium,crisis,health,It sounds like you're going through something difficult.
Lately my social has been causing me neutral,neutral,high,crisis,social,Consider talking to someone you trust.
Lately my has been causing neutral me,neutral,high,crisis,family,Consider talking to someone you trust.
Sometimes I feel anger without any reason,anger,low,vent,work,Consider talking to someone you trust.
Everything feels overwhelming in my family,stress,medium,information,family,Seeking professional support could be beneficial.
Sometimes I feel neutral without any reason,neutral,low,information,family,It sounds like you're going through something difficult.
I feel medium levels of neutral recently,neutral,medium,information,family,It might help to take a break and relax.
Everything feels overwhelming in my family,stress,low,crisis,family,Seeking professional support could be beneficial.
Everything feels in overwhelming my study,sadness,low,information,study,"You are not alone, and it's okay to seek help."
Lately my family been has causing me nervous,anxiety,low,vent,family,Seeking professional support could be beneficial.
I don't know how to this neutral anymore,neutral,low,crisis,social,It sounds like you're going through something difficult.
I am dealing with stress and it is getting medium,stress,low,general,family,Seeking professional support could be beneficial.
I feel levels high of stress recently,stress,high,general,family,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,anger,low,general,social,It sounds like you're going through something difficult.
I feel of levels anxiety recently,anxiety,low,crisis,work,Seeking professional support could be beneficial.
I am dealing with stress and it is getting low,stress,low,general,health,"You are not alone, and it's okay to seek help."
Lately my social has been causing me anger,anger,low,information,social,Try taking small steps to manage your situation.
I feel high levels of anger recently,anger,high,crisis,social,"You are not alone, and it's okay to seek help."
Sometimes I feel anxiety without any,anxiety,low,general,study,It might help to take a break and relax.
Everything feels overwhelming in my family,anger,low,information,family,It sounds like you're going through something difficult.
Everything feels overwhelming my work,anxiety,medium,crisis,work,Seeking professional support could be beneficial.
I don't know how to handle this neutral anymore,neutral,low,crisis,work,Seeking professional support could be beneficial.
Sometimes I feel anger without any reason,anger,low,crisis,family,"You are not alone, and it's okay to seek help."
Lately my family has been causing me neutral,neutral,low,vent,family,It sounds like you're going through something difficult.
Lately my health has been causing me sadness,sadness,high,help,health,Seeking professional support could be beneficial.
Everything feels in my work,anger,high,general,work,Try taking small steps to manage your situation.
Everything feels overwhelming in my family,anger,high,information,family,It might help to take a break and relax.
I am dealing with stress and it is getting medium,stress,medium,information,work,It sounds like you're going through something difficult.
Lately my work has been causing neutral,neutral,high,crisis,work,Consider talking to someone you trust.
I feel medium levels of neutral recently,neutral,high,information,social,It might help to take a break and relax.
I feel medium levels of anxiety recently,anxiety,medium,information,health,It might help to take a break and relax.
Lately my health been has causing me anger,anger,low,vent,health,Seeking professional support could be beneficial.
Sometimes I feel anger without any,anger,medium,information,study,Try taking small steps to manage your situation.
I feel medium levels of stress recently,stress,medium,help,study,Try taking small steps to manage your situation.
I am with dealing anxiety and it is getting,anxiety,high,crisis,health,Try taking small steps to manage your situation.
Lately my work been has causing me anger,anger,high,general,work,It might help to take a break and relax.
I feel anger because of my work,anger,medium,information,work,"You are not alone, and it's okay to seek help."
Sometimes feel neutral without any reason,neutral,low,vent,health,It might help to take a break and relax.
My study situation is making me neutral,neutral,high,general,study,"You are not alone, and it's okay to seek help."
I don't know how to handle anxiety anymore,anxiety,medium,help,work,Consider talking to someone you trust.
don't know how to handle this anger anymore,anger,high,vent,social,Consider talking to someone you trust.
My situation is making me feel anxiety,anxiety,high,help,family,It sounds like you're going through something difficult.
Everything feels overwhelming in my social,stress,low,information,social,Try taking small steps to manage your situation.
feel I low levels of neutral recently,neutral,low,general,work,Seeking professional support could be beneficial.
I am dealing with neutral and it is getting high,neutral,high,information,work,Try taking small steps to manage your situation.
I don't know how to handle this anger anymore,anger,high,information,work,It sounds like you're going through something difficult.
I feel stress because my of family,stress,high,help,family,Seeking professional support could be beneficial.
My social situation is making me feel stress,stress,low,general,social,Seeking professional support could be beneficial.
I feel anger because of my social,anger,medium,information,social,Try taking small steps to manage your situation.
I don't know how to handle this neutral anymore,neutral,high,information,work,Consider talking to someone you trust.
Everything feels overwhelming in my health,stress,high,help,health,Consider talking to someone you trust.
I don't know how to handle this anxiety anymore,anxiety,high,information,health,"You are not alone, and it's okay to seek help."
I feel sadness because of my family,sadness,medium,help,family,Try taking small steps to manage your situation.
I medium feel levels of neutral recently,neutral,medium,general,family,Consider talking to someone you trust.
I feel medium levels of stress recently,stress,medium,help,family,Consider talking to someone you trust.
Everything feels overwhelming in my health,anxiety,high,general,health,Try taking small steps to manage your situation.
Everything feels overwhelming in my health,anxiety,medium,crisis,health,Try taking small steps to manage your situation.
Sometimes I feel sadness without any reason,sadness,high,information,work,Seeking professional support could be beneficial.
I am dealing with anger and it is high getting,anger,high,vent,social,Seeking professional support could be beneficial.
My work situation is making me feel nervous,anxiety,low,vent,work,It might help to take a break and relax.
Sometimes I feel anxiety without reason,anxiety,medium,help,social,Consider talking to someone you trust.
I feel medium levels of neutral recently,neutral,medium,help,health,Consider talking to someone you trust.
My health situation is making me feel neutral,neutral,high,help,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this stress anymore,stress,medium,crisis,family,It might help to take a break and relax.
I feel low levels of anger recently,anger,low,crisis,work,"You are not alone, and it's okay to seek help."
I feel low levels of anger recently,anger,low,help,health,It sounds like you're going through something difficult.
Lately my health has been causing me stress,stress,high,general,health,"You are not alone, and it's okay to seek help."
Lately my study has been causing me stress,stress,low,general,study,Seeking professional support could be beneficial.
I don't how know to handle this anger anymore,anger,low,vent,health,Seeking professional support could be beneficial.
I feel sadness because of my study,sadness,high,general,study,Consider talking to someone you trust.
I don't know how to handle this stress anymore,stress,low,vent,family,"You are not alone, and it's okay to seek help."
I feel high levels of stress recently,stress,high,general,social,"You are not alone, and it's okay to seek help."
I feel high levels of stress recently,stress,high,general,family,It sounds like you're going through something difficult.
Sometimes feel I stress without any reason,stress,high,help,study,It might help to take a break and relax.
I don't know how to handle this downness anymore,sadness,medium,vent,family,It might help to take a break and relax.
Everything overwhelming feels in my study,anxiety,medium,help,study,Consider talking to someone you trust.
my health has been me causing stress,stress,medium,information,health,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without any reason,neutral,low,general,family,Seeking professional support could be beneficial.
Lately my health has been causing stress,stress,medium,help,health,"You are not alone, and it's okay to seek help."
my Lately health has been causing me stress,stress,high,crisis,health,Seeking professional support could be beneficial.
My situation is making me feel stress,stress,high,general,family,Consider talking to someone you trust.
I feel anxiety because of work my,anxiety,low,crisis,work,"You are not alone, and it's okay to seek help."
I am dealing with anger and it is getting low,anger,low,vent,study,"You are not alone, and it's okay to seek help."
My family situation is making me feel anxiety,anxiety,high,help,family,It might help to take a break and relax.
My study situation is making me feel neutral,neutral,low,help,study,Consider talking to someone you trust.
Everything feels overwhelming in my health,stress,low,crisis,health,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without any reason,neutral,medium,vent,work,Seeking professional support could be beneficial.
Everything feels overwhelming social my,anger,high,crisis,social,"You are not alone, and it's okay to seek help."
I am dealing with anger and it is getting medium,anger,high,crisis,social,Try taking small steps to manage your situation.
Lately my study has been causing me neutral,neutral,high,general,study,It sounds like you're going through something difficult.
Lately my health been has causing me sadness,sadness,high,information,health,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without any reason,neutral,high,crisis,social,Seeking professional support could be beneficial.
Lately my study has been causing me downness,sadness,high,information,study,It sounds like you're going through something difficult.
feel high levels of anger recently,anger,high,general,study,It sounds like you're going through something difficult.
Sometimes I feel neutral without reason any,neutral,medium,information,social,Seeking professional support could be beneficial.
Everything feels overwhelming in my work,stress,high,information,work,Seeking professional support could be beneficial.
I feel anger because of my health,anger,low,information,health,It might help to take a break and relax.
I am dealing with anger it getting is medium,anger,medium,general,work,It sounds like you're going through something difficult.
Sometimes I anxiety feel without any reason,anxiety,high,help,health,It might help to take a break and relax.
Sometimes I feel anger without any reason,anger,low,help,study,"You are not alone, and it's okay to seek help."
I am dealing with sadness and it is getting high,sadness,high,general,social,It might help to take a break and relax.
I don't know how to handle this anger anymore,anger,high,crisis,study,"You are not alone, and it's okay to seek help."
my social has been causing me anger,anger,low,crisis,social,Try taking small steps to manage your situation.
I feel high levels stress recently,stress,high,general,family,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,anger,medium,general,family,Seeking professional support could be beneficial.
Everything feels in overwhelming study,neutral,high,vent,study,It sounds like you're going through something difficult.
I feel because of my study,anger,medium,information,study,Seeking professional support could be beneficial.
I feel low levels of neutral recently,neutral,low,help,work,It sounds like you're going through something difficult.
I am dealing with sadness and it is getting medium,sadness,medium,help,family,Seeking professional support could be beneficial.
I don't know to how handle this anger anymore,anger,medium,vent,work,It might help to take a break and relax.
My health situation is making me feel stress,stress,low,vent,health,Seeking professional support could be beneficial.
I feel high levels downness of,sadness,low,vent,study,Consider talking to someone you trust.
I am dealing with nervous and it is getting high,anxiety,high,help,social,Seeking professional support could be beneficial.
I feel downness because of my health,sadness,medium,help,health,"You are not alone, and it's okay to seek help."
I feel neutral because of my family,neutral,medium,help,family,"You are not alone, and it's okay to seek help."
Lately my study has been causing me downness,sadness,medium,general,study,"You are not alone, and it's okay to seek help."
I Sometimes feel neutral without any reason,neutral,low,general,health,It might help to take a break and relax.
I feel sadness because of social my,sadness,high,help,social,Consider talking to someone you trust.
I am dealing with anger and it is getting medium,anger,medium,vent,social,Seeking professional support could be beneficial.
I feel nervous because of my work,anxiety,low,general,work,"You are not alone, and it's okay to seek help."
I feel stress because of my work,stress,medium,general,work,It sounds like you're going through something difficult.
I don't know how to handle this anymore,anxiety,medium,vent,health,Consider talking to someone you trust.
Everything feels overwhelming in my study,sadness,low,general,study,It might help to take a break and relax.
Sometimes I neutral feel without any reason,neutral,low,vent,work,Try taking small steps to manage your situation.
Sometimes I feel anger without any reason,anger,high,general,work,It might help to take a break and relax.
Lately my family has been causing me anxiety,anxiety,high,help,family,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,neutral,low,vent,work,Seeking professional support could be beneficial.
Lately my health has been causing me stress,stress,high,help,health,It might help to take a break and relax.
I feel stress because of family my,stress,high,help,family,"You are not alone, and it's okay to seek help."
I feel medium levels of anxiety recently,anxiety,medium,general,family,"You are not alone, and it's okay to seek help."
I feel sadness because of my social,sadness,high,help,social,Consider talking to someone you trust.
I feel low levels of unhappyness recently,sadness,low,vent,work,Seeking professional support could be beneficial.
Everything feels overwhelming in my health,sadness,low,general,health,"You are not alone, and it's okay to seek help."
I feel medium levels of neutral recently,neutral,medium,crisis,family,Consider talking to someone you trust.
Everything feels overwhelming in my social,neutral,high,information,social,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,medium,vent,health,It sounds like you're going through something difficult.
Everything feels overwhelming in study my,stress,medium,vent,study,Try taking small steps to manage your situation.
I feel medium levels of unhappyness recently,sadness,medium,help,study,"You are not alone, and it's okay to seek help."
Lately my family has causing been me anger,anger,medium,crisis,family,It might help to take a break and relax.
I low feel levels of neutral recently,neutral,low,crisis,work,"You are not alone, and it's okay to seek help."
Sometimes I feel sadness without any reason,sadness,medium,vent,study,Try taking small steps to manage your situation.
Sometimes I feel sadness without any reason,sadness,high,vent,social,Seeking professional support could be beneficial.
My family situation is making me feel stress,stress,medium,general,family,It might help to take a break and relax.
Everything feels overwhelming in social my,neutral,medium,information,social,It sounds like you're going through something difficult.
I am dealing with sadness and it is getting medium,sadness,medium,information,work,Try taking small steps to manage your situation.
Everything feels overwhelming in my family,neutral,high,crisis,family,Seeking professional support could be beneficial.
I know how to handle this sadness anymore,sadness,medium,general,family,"You are not alone, and it's okay to seek help."
don't I know how to handle this neutral anymore,neutral,low,help,family,Try taking small steps to manage your situation.
Lately my study has been causing me stress,stress,low,general,study,Try taking small steps to manage your situation.
I feel high levels of anxiety recently,anxiety,medium,general,family,Seeking professional support could be beneficial.
feel high levels of anxiety recently,anxiety,high,help,family,Try taking small steps to manage your situation.
I am dealing with nervous and it is getting medium,anxiety,medium,vent,family,"You are not alone, and it's okay to seek help."
I feel stress because of my study,stress,high,help,study,It might help to take a break and relax.
feel medium levels of downness recently,sadness,medium,vent,social,It sounds like you're going through something difficult.
Sometimes I feel neutral without reason,neutral,high,vent,study,Seeking professional support could be beneficial.
I feel anxiety because of my study,anxiety,high,vent,study,"You are not alone, and it's okay to seek help."
I am dealing with stress and it getting is medium,anxiety,medium,help,family,Consider talking to someone you trust.
I feel because my of study,sadness,low,crisis,study,Try taking small steps to manage your situation.
My study situation is making me feel anger,anger,high,information,study,Seeking professional support could be beneficial.
family My is making me feel anxiety,anxiety,high,crisis,family,It might help to take a break and relax.
My situation family is making me feel neutral,neutral,low,help,family,It might help to take a break and relax.
I Sometimes feel neutral without any reason,neutral,low,vent,family,It sounds like you're going through something difficult.
I am dealing with stress it and is getting low,stress,low,vent,social,It sounds like you're going through something difficult.
Everything feels overwhelming my in health,anger,high,information,health,It sounds like you're going through something difficult.
I don't know how to handle this anger anymore,anger,medium,general,health,It might help to take a break and relax.
Sometimes I feel stress without any reason,anxiety,high,crisis,health,Consider talking to someone you trust.
Sometimes feel I anxiety without any reason,anxiety,high,help,work,Try taking small steps to manage your situation.
Lately my health has been causing me stress,stress,medium,information,health,Seeking professional support could be beneficial.
I feel medium levels stress recently,stress,medium,crisis,health,Seeking professional support could be beneficial.
My study situation making me feel anger,anger,high,vent,study,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my study,neutral,medium,information,study,It might help to take a break and relax.
don't I know how to handle this neutral anymore,neutral,medium,crisis,work,Seeking professional support could be beneficial.
I am dealing with unhappyness and it is getting high,sadness,high,information,health,Try taking small steps to manage your situation.
I feel low levels of sadness,sadness,low,help,family,It might help to take a break and relax.
I feel sadness because of my,sadness,low,information,work,"You are not alone, and it's okay to seek help."
Lately my family has causing been me stress,stress,low,information,family,Consider talking to someone you trust.
I feel low levels of stress recently,anxiety,low,general,social,Consider talking to someone you trust.
Sometimes I feel without anxiety any reason,anxiety,medium,help,social,It sounds like you're going through something difficult.
Everything feels in overwhelming my family,sadness,medium,vent,family,Seeking professional support could be beneficial.
I don't know how to handle this neutral anymore,neutral,low,vent,work,It sounds like you're going through something difficult.
Sometimes I feel stress without any reason,stress,medium,crisis,work,Try taking small steps to manage your situation.
Sometimes I feel anger any without reason,anger,medium,general,family,Consider talking to someone you trust.
I dealing with stress and it is getting medium,stress,medium,information,social,Seeking professional support could be beneficial.
I don't know how to handle this sadness anymore,sadness,low,information,family,Try taking small steps to manage your situation.
My health situation is making me feel anxiety,anxiety,low,vent,health,Seeking professional support could be beneficial.
Everything feels overwhelming in my family,stress,medium,help,family,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,medium,general,study,Consider talking to someone you trust.
Everything feels overwhelming in my health,anxiety,low,vent,health,"You are not alone, and it's okay to seek help."
Lately my work has been causing me sadness,sadness,low,information,work,It sounds like you're going through something difficult.
feels Everything overwhelming in my health,anxiety,low,crisis,health,Consider talking to someone you trust.
My study situation is making feel stress,stress,low,help,study,Consider talking to someone you trust.
feel I nervous because of my health,anxiety,low,vent,health,It might help to take a break and relax.
My health situation is making me feel anger,anger,high,crisis,health,Consider talking to someone you trust.
I am with dealing anger and it is getting high,anger,high,information,study,"You are not alone, and it's okay to seek help."
My work situation is making me feel anger,anger,high,information,work,"You are not alone, and it's okay to seek help."
Sometimes I feel without sadness any reason,sadness,high,information,work,Consider talking to someone you trust.
Lately my work has been causing me stress,anxiety,high,help,work,Consider talking to someone you trust.
I feel medium levels of anxiety recently,anxiety,medium,information,health,Try taking small steps to manage your situation.
Lately family has been causing me unhappyness,sadness,high,vent,family,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,high,vent,health,"You are not alone, and it's okay to seek help."
am dealing with anger and it is getting high,anger,high,information,social,Seeking professional support could be beneficial.
I am dealing with stress and it is getting high,stress,high,vent,work,"You are not alone, and it's okay to seek help."
I feel unhappyness because of my family,sadness,high,general,family,It might help to take a break and relax.
I don't know how to handle this downness anymore,sadness,medium,crisis,study,It might help to take a break and relax.
My health situation is me making feel neutral,neutral,low,general,health,It sounds like you're going through something difficult.
Everything feels overwhelming in social my,neutral,low,vent,social,Try taking small steps to manage your situation.
feel anxiety because of my family,anxiety,low,general,family,Consider talking to someone you trust.
I feel sadness of my work,sadness,high,crisis,work,It sounds like you're going through something difficult.
I feel stress because of my health,stress,high,general,health,It sounds like you're going through something difficult.
I dealing am with sadness and it is getting high,sadness,high,help,social,It sounds like you're going through something difficult.
I stress feel because of my family,stress,high,crisis,family,Consider talking to someone you trust.
My study is situation making me feel anger,anger,low,crisis,study,Seeking professional support could be beneficial.
My health situation is me making feel neutral,neutral,medium,general,health,Try taking small steps to manage your situation.
Lately my work has causing been me nervous,anxiety,medium,help,work,Consider talking to someone you trust.
Lately my study has been causing me anxiety,anxiety,high,crisis,study,Seeking professional support could be beneficial.
I don't know how to handle this sadness anymore,sadness,low,vent,social,Try taking small steps to manage your situation.
My study situation is making me feel neutral,neutral,medium,crisis,study,It sounds like you're going through something difficult.
Lately my social has been causing me anger,anger,high,help,social,Consider talking to someone you trust.
My situation is making me feel neutral,neutral,low,crisis,study,"You are not alone, and it's okay to seek help."
I feel low levels of anxiety recently,anxiety,low,help,study,It might help to take a break and relax.
Lately my family has been causing me neutral,neutral,medium,general,family,It might help to take a break and relax.
I am dealing with and anxiety it is getting low,anxiety,low,information,family,It sounds like you're going through something difficult.
My social situation is making me anger,anger,low,crisis,social,Try taking small steps to manage your situation.
Everything feels in overwhelming social,anxiety,low,information,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,stress,high,vent,social,"You are not alone, and it's okay to seek help."
I feel high levels of anger recently,anger,high,vent,health,It might help to take a break and relax.
Sometimes I feel sadness without any reason,sadness,low,help,health,Consider talking to someone you trust.
I feel high levels of neutral recently,neutral,high,crisis,health,Consider talking to someone you trust.
Sometimes I feel downness without any reason,sadness,low,information,social,Consider talking to someone you trust.
I don't know how to handle this anymore neutral,neutral,high,general,family,"You are not alone, and it's okay to seek help."
My situation is making me feel stress,stress,low,vent,health,It might help to take a break and relax.
Lately my study has been causing anger me,anger,high,information,study,Try taking small steps to manage your situation.
I don't how to handle this anxiety anymore,anxiety,low,help,study,It sounds like you're going through something difficult.
Sometimes I anger feel without any reason,anger,low,help,health,Seeking professional support could be beneficial.
I feel high levels anger recently,anger,high,information,family,It might help to take a break and relax.
I high levels of stress recently,stress,high,general,study,It might help to take a break and relax.
am I dealing with anger and it is getting low,anger,low,vent,study,It might help to take a break and relax.
My work situation is making me feel anger,anger,medium,help,work,Consider talking to someone you trust.
I don't know how to handle this stress anymore,stress,low,help,family,Seeking professional support could be beneficial.
my Lately work has been causing me anger,anger,medium,crisis,work,"You are not alone, and it's okay to seek help."
Everything overwhelming feels in my social,neutral,low,information,social,Consider talking to someone you trust.
Sometimes I feel sadness without any reason,sadness,medium,vent,social,Try taking small steps to manage your situation.
